Run,Age_months,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype/variation,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,mouse_model,Organism,Platform,ReleaseDate,sample_ID,Sample Name,source_name,SRA Study,tissue
SRR8512310,2,RNA-Seq,250,4815303750,PRJNA518104,SAMN10852673,2035110083,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315957,rTg4510,GSM3586058,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,M22,GSM3586058,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512311,4,RNA-Seq,250,4593726500,PRJNA518104,SAMN10852672,1944415144,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315958,Wild Type,GSM3586059,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,M23,GSM3586059,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512312,4,RNA-Seq,250,4980377000,PRJNA518104,SAMN10852671,2104245038,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315959,rTg4510,GSM3586060,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,M24,GSM3586060,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512313,2,RNA-Seq,250,4691334000,PRJNA518104,SAMN10852670,2005708075,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315960,rTg4510,GSM3586061,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,O18,GSM3586061,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512314,4,RNA-Seq,250,4480040000,PRJNA518104,SAMN10852669,1917542415,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315961,Wild Type,GSM3586062,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,O19,GSM3586062,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512315,4,RNA-Seq,250,4606131000,PRJNA518104,SAMN10852668,1994939930,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315962,rTg4510,GSM3586063,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,O20,GSM3586063,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512316,6,RNA-Seq,250,4873250750,PRJNA518104,SAMN10852667,2148513864,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315963,Wild Type,GSM3586064,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,O21,GSM3586064,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512317,6,RNA-Seq,250,4851264500,PRJNA518104,SAMN10852666,2089279098,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315964,rTg4510,GSM3586065,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,O22,GSM3586065,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512318,8,RNA-Seq,250,4415575250,PRJNA518104,SAMN10852665,1890867435,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315965,Wild Type,GSM3586066,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,O23,GSM3586066,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512319,8,RNA-Seq,250,3887587250,PRJNA518104,SAMN10852664,1666032978,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315966,rTg4510,GSM3586067,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,O24,GSM3586067,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512320,4,RNA-Seq,250,6227682000,PRJNA518104,SAMN10852663,2662559763,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315967,Wild Type,GSM3586068,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,P17,GSM3586068,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512321,4,RNA-Seq,250,4789878500,PRJNA518104,SAMN10852662,2094741105,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315968,rTg4510,GSM3586069,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,P18,GSM3586069,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512322,6,RNA-Seq,250,4432805750,PRJNA518104,SAMN10852661,1897544371,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315969,Wild Type,GSM3586070,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,P19,GSM3586070,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512323,6,RNA-Seq,250,3542363000,PRJNA518104,SAMN10852660,1536934000,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315970,rTg4510,GSM3586071,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,P20,GSM3586071,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512324,8,RNA-Seq,250,4383872250,PRJNA518104,SAMN10852659,1912696876,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315971,Wild Type,GSM3586072,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,P21,GSM3586072,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512325,2,RNA-Seq,250,4463932750,PRJNA518104,SAMN10852658,1919753148,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315972,Wild Type,GSM3586073,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,P23,GSM3586073,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512326,2,RNA-Seq,250,2773740000,PRJNA518104,SAMN10852657,1191434573,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315973,rTg4510,GSM3586074,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,P24,GSM3586074,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512327,6,RNA-Seq,250,5058263250,PRJNA518104,SAMN10852656,2118332095,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315974,Wild Type,GSM3586075,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,Q17,GSM3586075,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512328,6,RNA-Seq,250,4547142000,PRJNA518104,SAMN10852655,1945710238,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315975,rTg4510,GSM3586076,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,Q18,GSM3586076,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512329,8,RNA-Seq,250,4566160250,PRJNA518104,SAMN10852654,1946938904,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315976,Wild Type,GSM3586077,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,Q19,GSM3586077,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512330,8,RNA-Seq,250,4565667250,PRJNA518104,SAMN10852653,1974024330,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315977,rTg4510,GSM3586078,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,Q20,GSM3586078,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512331,2,RNA-Seq,250,4841680750,PRJNA518104,SAMN10852652,2129213570,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315978,Wild Type,GSM3586079,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,Q21,GSM3586079,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512332,2,RNA-Seq,250,4424363250,PRJNA518104,SAMN10852651,1880486235,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315979,rTg4510,GSM3586080,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,Q22,GSM3586080,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512333,4,RNA-Seq,250,4598742500,PRJNA518104,SAMN10852650,1996425962,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315980,Wild Type,GSM3586081,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,Q23,GSM3586081,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512334,4,RNA-Seq,250,7073504500,PRJNA518104,SAMN10852649,3017245935,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315981,rTg4510,GSM3586082,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,Q24,GSM3586082,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512335,2,RNA-Seq,250,5860695500,PRJNA518104,SAMN10852701,2489905463,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315982,Wild Type,GSM3586083,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,S17,GSM3586083,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512336,2,RNA-Seq,250,4268013500,PRJNA518104,SAMN10852700,1838982573,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315983,rTg4510,GSM3586084,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,S18,GSM3586084,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512337,4,RNA-Seq,250,8256992750,PRJNA518104,SAMN10852699,3527245831,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315984,Wild Type,GSM3586085,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,S19,GSM3586085,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512338,4,RNA-Seq,250,4433469750,PRJNA518104,SAMN10852698,1920604668,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315985,rTg4510,GSM3586086,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,S20,GSM3586086,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512339,6,RNA-Seq,250,4336189250,PRJNA518104,SAMN10852697,1899698431,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315986,Wild Type,GSM3586087,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,S21,GSM3586087,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512340,6,RNA-Seq,250,4218552250,PRJNA518104,SAMN10852696,1805275736,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315987,rTg4510,GSM3586088,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,S22,GSM3586088,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512341,8,RNA-Seq,250,4496691000,PRJNA518104,SAMN10852695,1930169695,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315988,Wild Type,GSM3586089,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,S23,GSM3586089,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512342,8,RNA-Seq,250,4881055250,PRJNA518104,SAMN10852694,2087661166,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315989,rTg4510,GSM3586090,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,S24,GSM3586090,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512343,4,RNA-Seq,250,5199570000,PRJNA518104,SAMN10852693,2196797545,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315990,Wild Type,GSM3586091,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,T17,GSM3586091,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512344,4,RNA-Seq,250,4847911250,PRJNA518104,SAMN10852692,2074684307,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315991,rTg4510,GSM3586092,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,T18,GSM3586092,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512345,6,RNA-Seq,250,4568679250,PRJNA518104,SAMN10852691,1938182675,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315992,Wild Type,GSM3586093,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,T19,GSM3586093,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512346,6,RNA-Seq,250,4875385500,PRJNA518104,SAMN10852690,2089958519,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315993,rTg4510,GSM3586094,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,T20,GSM3586094,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512347,8,RNA-Seq,250,4983002250,PRJNA518104,SAMN10852689,2161197112,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315994,Wild Type,GSM3586095,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,T21,GSM3586095,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512348,8,RNA-Seq,250,5183866000,PRJNA518104,SAMN10852688,2187226167,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315995,rTg4510,GSM3586096,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,T22,GSM3586096,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512349,2,RNA-Seq,250,5205891250,PRJNA518104,SAMN10852687,2221703075,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315996,Wild Type,GSM3586097,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,T23,GSM3586097,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512350,2,RNA-Seq,250,5352552500,PRJNA518104,SAMN10852686,2268875798,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315997,rTg4510,GSM3586098,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,T24,GSM3586098,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512351,6,RNA-Seq,250,1854535750,PRJNA518104,SAMN10852685,1293586062,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315998,Wild Type,GSM3586099,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,A17,GSM3586099,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512352,6,RNA-Seq,250,2888747250,PRJNA518104,SAMN10852685,1270773537,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315998,Wild Type,GSM3586099,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,A17,GSM3586099,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512353,6,RNA-Seq,250,1946931250,PRJNA518104,SAMN10852684,858850013,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315999,J20,GSM3586100,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,A18,GSM3586100,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512354,6,RNA-Seq,250,1431017000,PRJNA518104,SAMN10852684,997937460,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315999,J20,GSM3586100,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,A18,GSM3586100,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512355,8,RNA-Seq,250,2171671500,PRJNA518104,SAMN10852683,1523772840,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316000,Wild Type,GSM3586101,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,A19,GSM3586101,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512356,8,RNA-Seq,250,2917045750,PRJNA518104,SAMN10852683,1319421945,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316000,Wild Type,GSM3586101,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,A19,GSM3586101,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512357,8,RNA-Seq,250,2240190250,PRJNA518104,SAMN10852682,999779557,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316001,J20,GSM3586102,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,A20,GSM3586102,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512358,8,RNA-Seq,250,1493676750,PRJNA518104,SAMN10852682,1052633931,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316001,J20,GSM3586102,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,A20,GSM3586102,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512359,10,RNA-Seq,250,2098392000,PRJNA518104,SAMN10852681,1469416329,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316002,Wild Type,GSM3586103,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,A21,GSM3586103,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512360,10,RNA-Seq,250,3076158250,PRJNA518104,SAMN10852681,1376994666,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316002,Wild Type,GSM3586103,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,A21,GSM3586103,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512361,10,RNA-Seq,250,2976533250,PRJNA518104,SAMN10852680,1323454908,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316003,J20,GSM3586104,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,A22,GSM3586104,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512362,10,RNA-Seq,250,2182748000,PRJNA518104,SAMN10852680,1527988986,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316003,J20,GSM3586104,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,A22,GSM3586104,Entorhinal cortex,SRP183070,Entorhinal cortex
