"","Name","ID","pSize","NDE","pNDE","tA","pPERT","pG","pGFdr","pGFWER","Status","KEGGLINK"
"11","Chagas disease (American trypanosomiasis)","05142",96,90,0.000313501247746974,-43.952003624971,0.136,0.000471675742594004,0.00561722929816496,0.0617895222798146,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05142+24088+21898+12317+12266+12259+12260+12262+81897+17874+16179+22034+26398+26414+26419+26420+26415+29857+14281+16476+21926+16159+16160+106759+18035+18033+19697+12675+16150+16151+16176+15979+15980+18126+21937+21812+21813+17126+17127+18787+14678+14679+14681+12062+14672+14675+14676+14682+18795+18796+18797+18798+14680+14683+432530+18706+18707+18708+18709+18710+30955+320207+74769+11651+11652+23797+21803+21808+21809+19052+19053+269643+51792+52432+71978+72930+73699+14103+14102+12370+12633+16193+20302+12500+12501+12502+12503+11421+20304+16183+21899"
"12","Measles","05162",116,106,0.00145233409647188,-46.2999131867231,0.043,0.000667041007604345,0.00710685850446188,0.0873823719961692,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05162+170743+81897+17874+16179+54123+21898+24088+230073+18035+18036+18033+19697+71586+228607+54131+15975+15976+16451+54721+20846+20847+16391+246727+246728+246730+15979+15980+16452+17698+170776+170779+170780+170786+69142+21336+17221+27218+20400+14360+18761+16184+16186+16183+12500+12501+12502+12487+18706+18707+18708+18709+18710+30955+320207+74769+11651+11652+23797+15481+15482+68135+16453+20848+20850+20851+16175+16176+16193+16159+16160+16189+17858+14694+208650+13666+15467+19106+27103+13665+12675+14102+14103+22035+21933+22034+21929+14130+13000+13001+68098+22062+170770+319642+12444+12445+12447+12448+12566+12571+12576+56637+56417+26409+68652+56489+56480"
"13","Pancreatic cancer","05212",68,63,0.00603735734320727,77.4102074786534,0.011,0.000705260767618354,0.00710685850446188,0.0923891605580044,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05212+16653+18706+18707+18708+18709+18710+30955+320207+74769+73341+11651+11652+23797+170758+19353+19354+12675+16150+16151+18033+19697+12015+12048+109880+110157+11836+12371+26395+19730+56044+64143+19765+18805+26414+26419+26420+21802+13645+16451+20848+20846+14205+18654+22339+22340+22341+12578+12540+12571+19645+13555+13557+242705+21803+21808+21809+21812+21813+17126+17127+17128+12190+13649"
"14","ECM-receptor interaction","04512",84,80,0.000136803613724329,-5.35321866112705,0.721,0.0010084563041063,0.00932059947042651,0.132107775837925,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04512+16772+16773+16774+16775+16776+16777+16780+16782+226519+23928+12814+12815+12824+12825+12826+12827+12830+12831+12832+12833+12834+12835+12842+12843+245026+53867+68553+94216+13138+21923+21960+329278+81877+54368+14724+14723+14729+22371+15891+22370+20750+14268+12845+21825+21826+21827+21828+16416+16412+16403+16410+16401+15366+12491+64051+75209+15529+20969+20970+20971+15530+192897+320910+16420+16419+16399+16421+319480+104099+241226+16404+16402+16400+109700+114249+12643+19699+12505+16398+11603"
"15","Protein processing in endoplasmic reticulum","04141",156,142,0.000373774805832953,17.4595881387322,0.281,0.00106724421417097,0.00932059947042651,0.139808992056398,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04141+11911+13198+26414+26419+26420+22030+26400+13665+12330+12317+17872+14827+12364+12333+12334+53421+57743+269523+103963+13135+13200+16430+20014+68292+108687+192193+66967+20334+218811+27054+69608+77371+99683+66890+70361+22230+217365+50527+17155+17156+227619+230815+19089+57377+320011+66435+223455+74126+22213+67128+14828+140740+69276+12028+12915+226641+78943+13666+15467+19106+27103+56453+270669+22433+22393+19358+19359+54609+56085+94232+59007+140499+56228+63958+226418+110616+18786+15481+15482+20338+116891+67819+70377+216440+64209+66753+56438+230904+216080+22193+22194+13002+15502+56445+56709+56812+66326+81489+56424+105245+12304+18453+67397+71853+100037258+13418+66861+67838+386649+66530+21402+26965+193670+54197+15516+15519+18024+110379+240667+69162+20224+66397+50907+22027+72265+50873+12017+15505+18415+213539+12954+12955+12282+81500+216197+81910+27061+107513+20832+66256+67437+23802"
"16","Cytosolic DNA-sensing pathway","04623",45,44,0.000837633517998275,11.7136110305686,0.217,0.00174728253944547,0.0143058757917098,0.228894012667356,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04623+12362+66824+383619+16176+16173+26388+58203+56480+56489+54131+54123+15945+228607+72512+18033+19697+19766+56532+56417+16193+12675+16150+16151+230073+77125+18035+18036+20018+218832+245841+26939+66420+66491+67005+67065+67486+69833+69870+70408+70428+74414+78929+20303+20304"
"17","Progesterone-mediated oocyte maturation","04914",83,76,0.00602041268948197,49.2659373643864,0.033,0.00189213718498301,0.0145805865431044,0.247869971232774,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04914+16001+16000+16334+12877+104110+104111+11512+11513+11514+11515+210044+224129+432530+16653+12534+11651+11652+23797+18576+54611+17222+217232+52206+52563+56317+59008+66156+68999+69010+69957+99152+56371+17120+56150+71890+12235+12530+12531+12532+18817+12442+268697+15516+15519+18747+18749+19108+268930+110651+20111+20112+67071+26395+14678+14679+12566+12427+12428+70891+26414+26415+26419+26420+29857+18667+18706+18707+18708+18709+18710+30955+320207+74769+109880+110157+11836"
"18","Fc gamma R-mediated phagocytosis","04666",88,78,0.0376685167015915,94.321804412141,0.007,0.00243660421343949,0.0177330639978096,0.319195151960573,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04666+14130+14129+15162+17096+20963+19264+18706+18707+18708+18709+18710+30955+320207+74769+16331+16332+16797+18803+234779+18753+18754+110157+26395+329502+11651+11652+23797+72508+22324+22325+57257+19353+19354+242687+245880+83767+11867+434782+56378+56443+67771+74192+76709+12540+22376+73178+94176+12928+12929+18805+18806+18479+22323+16885+16886+13196+211914+230837+53357+17357+17909+20259+227753+18717+18719+18720+19012+50784+67916+14389+11845+103967+13429+13430+74006+17969+218038+18750"
"19","Phosphatidylinositol signaling system","04070",76,70,0.0056947268581104,8.65817648397596,0.059,0.0030233732923639,0.0208453632262984,0.39606190129967,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04070+19211+75678+114875+18795+18796+18797+18798+18799+18802+18803+234779+72469+74055+12313+12314+12315+18750+16438+16439+16440+52858+18706+18707+18708+18709+18710+30955+320207+74769+18717+18719+18720+18711+107650+224020+67073+84095+225326+74596+104418+110197+110524+13139+217480+380921+56077+234515+269180+18704+18705+240752+104015+16330+20975+320634+64436+108083+117150+18718+17772+55980+16329+170835+19062+212111+228550+233011+320404+16331+16332"
"20","Cell cycle","04110",120,110,0.000865828948455988,-20.2998847794254,0.497,0.0037656989825086,0.0246653283354313,0.493306566708626,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04110+12578+56371+17215+17216+17217+17218+17219+17220+18392+18393+26428+26429+50793+56452+17222+217232+52206+52563+56317+59008+66156+68999+69010+69957+99152+21402+26965+56438+12534+12236+18538+18817+11920+245000+27214+56150+71890+12235+218294+229776+22627+22628+22629+22631+54401+55948+12649+50883+12575+19090+17246+12914+268930+22390+381759+30939+140557+24061+19645+13197+17873+23882+12576+12577+21803+21808+21809+17128+17126+17127+12545+107995+12531+12532+12544+23834+12530+56637+12442+268697+12427+12428+12566+12571+66671+12447+12448+12444+12445+17120+22137+12580+13006+20842+20843+19357+19650+19651+104394+13559+17869+22642+11350+211586+21781+13555+13557+242705+15182+433759"
"21","Focal adhesion","04510",194,174,0.000615093394698088,-9.56813251030195,0.893,0.00467265925589051,0.0291484934534123,0.612118362521657,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04510+16412+16416+16419+16420+16421+192897+320910+104099+109700+16398+16399+16400+16401+16402+16403+16404+16410+241226+319480+192176+286940+12540+107589+213435+238564+17906+17907+67268+67938+13367+17931+19046+19047+19877+19878+11651+11652+23797+18607+170736+57342+64099+16202+22330+22323+19211+18706+18707+18708+18709+18710+30955+320207+74769+21894+70549+22793+18717+109711+11472+11474+14083+12334+19303+11855+18750+20779+14360+11848+19417+12643+12814+12815+12824+12825+12826+12827+12830+12831+12832+12833+12834+12835+12842+12843+12845+14268+15891+16772+16773+16774+16775+16776+16777+16780+16782+19699+20750+21825+21826+21827+21828+21923+21960+22370+22371+226519+23928+245026+329278+53867+68553+81877+94216+12389+12390+11796+11798+12015+13712+12444+12445+26395+109880+110157+15461+20662+20663+13649+14254+14257+16001+17295+18595+18596+13645+14205+15234+16000+18590+18591+18654+22339+22340+22341+54635+71785+20416+20418+216148+271849+12927+12928+12929+107746+215449+26414+26419+26420+16476+18479+18481+224105+241656+70584+170758+19353+19354+22324+22325+57257+12387+56637+11461"
"22","Taste transduction","04742",29,25,0.326993846852489,-27.2889442782875,0.002,0.00544930146222276,0.0324481132523264,0.713858491551181,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04742+83770+12286+12287+14688+14695+64337+83771+20276+20277+20278+16500+56843+18747+18749+19108+18796+110326+11418+104110+11512+11514+14683+57253+574417+16440"
"23","Gastric acid secretion","04971",67,61,0.018736119782307,31.980115114547,0.037,0.00573593490649327,0.0326698901195921,0.751407472750618,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04971+12426+12671+104110+104111+11512+11513+11514+11515+210044+224129+432530+18747+18749+19108+14682+18795+18796+18797+18798+16438+16439+16440+15466+18750+11944+14459+14683+12638+16526+72258+11928+11931+11932+11933+232975+27222+98660+110895+20544+20535+208890+16535+246133+22350+12349+14678+14679+20606+20604+16513+16517+16518+11461+12313+12314+12315+107589+213435+238564+12322+12325"
"24","Dilated cardiomyopathy","05414",83,76,0.00602041268948197,11.6810290657141,0.131,0.00642387439440878,0.0350636477361479,0.841527545667551,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05414+12288+12289+12292+12293+12294+12295+12297+12298+12299+12300+140723+319734+54377+54652+56808+20191+11938+104099+109700+16398+16399+16400+16401+16402+16403+16404+16410+241226+319480+16412+16416+16419+16420+16421+192897+320910+24053+24051+20391+13138+16773+13726+16905+21954+21956+22003+22004+326618+59069+13405+22138+17868+13346+11554+14683+104110+104111+11512+11513+11514+11515+210044+224129+432530+18747+18749+19108+18821+17906+11461+17888+21926+16000+21803+21808+21809"
"25","PPAR signaling pathway","03320",64,59,0.0105943208779218,10.9200647964032,0.088,0.00743775671732656,0.0389738451987912,0.97434612996978,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu03320+14933+74551+103968+12491+225579+26457+26458+26459+12140+14077+16592+19013+20181+20182+20183+19015+19016+20280+113868+235674+11363+74147+12896+12894+78070+14081+216739+328845+433256+50790+74205+94180+108078+16956+15360+20411+57875+11430+80911+93732+16202+18607+11807+18830+11450+20249+20250+30049+329065+56473+11814+13124+22259+104086+11806+22190+13167+17436+22227"
"26","TGF-beta signaling pathway","04350",80,73,0.00888662842769276,39.4575776718557,0.12,0.00836424158142837,0.039832133121692,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04350+268977+12845+21825+21826+21827+21828+26965+56438+17128+17126+17127+11480+269275+18119+17130+17131+18741+20683+12914+17869+21781+104394+13559+19650+19651+15901+15902+15903+15904+11477+16323+16324+16326+14313+13590+72508+19052+19053+51792+73699+19877+19878+11848+218441+230597+21402+17125+17129+55994+66313+75788+21813+21812+21803+21808+21809+13179+21926+110542+12166+12167+11705+12156+12159+12160+12162+12163+12164+14563+238057+242316+18121+12667"
"27","Toll-like receptor signaling pathway","04620",85,77,0.0115849758745743,-44.610326159742,0.095,0.00859759100241691,0.039832133121692,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04620+12675+22034+16179+17874+26410+18033+20750+22031+19766+54123+27056+15945+12524+21939+16150+26409+26415+29857+117149+19353+26414+26419+26420+16176+56480+56489+16193+20304+66513+11651+11652+23797+68652+20846+18035+21926+54131+24088+17087+142980+21897+21899+16803+81897+21898+54473+106759+12475+16151+12370+20302+17329+18706+18707+18708+18709+18710+30955+320207+74769+15975+15976+170743+170744+26398+26400+19697+26397+26399+26395+26396+14281+16476+16159+16160+20303+13038"
"28","Oocyte meiosis","04114",105,95,0.0056671488241424,41.3143206436313,0.199,0.00878247347048206,0.039832133121692,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04114+12534+56150+71890+12442+268930+110651+20111+20112+67071+26395+17222+217232+52206+52563+56317+59008+66156+68999+69010+69957+99152+107995+30939+268697+67141+21402+26965+56438+12447+12448+78803+12532+12566+103583+12234+12322+12325+18817+20878+114875+16438+16439+16440+12313+12314+12315+19055+19056+19057+19058+19059+56398+70261+12877+18747+18749+19108+104110+104111+11512+11513+11514+11515+210044+224129+432530+22627+22628+22629+22631+54401+19046+19047+29857+140557+24061+56739+50878+72415+226849+26931+26932+19052+19053+51792+73699+13006+18667+11835+16001+16334+16000+70891+20874+12235"
"29","Cytokine-cytokine receptor interaction","04060",197,169,0.0451286254019908,44.8547554832242,0.026,0.00909095078669065,0.039832133121692,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04060+213208+16189+11479+11480+11477+16155+230828+16186+16195+16174+16182+16180+16178+16177+50905+16172+12166+12167+110542+21812+21813+16173+16176+16175+140806+56069+14563+12162+12156+11705+16326+16324+16323+21809+21808+21803+320100+245527+13608+57916+21935+21936+21942+21941+21940+21939+14102+230979+17000+24099+21950+21949+21948+14103+50930+16994+16992+237313+16154+15980+15979+15976+15975+14255+16590+12978+13649+17295+14257+14254+18596+18595+329244+17311+12977+13645+15234+14205+22341+22339+22340+71785+18591+18590+54635+17480+19116+13857+57914+16197+60504+16169+16190+16184+22018+19109+13856+53603+60505+16168+16196+16183+16191+12981+16161+209590+16162+16164+12986+12804+18414+16194+83430+16159+16160+13019+16878+16156+16193+12777+12771+12768+12772+12775+12769+12458+20308+20305+56221+20292+20307+20304+20306+20302+20303+20293+20295+20300+20297+13051+80901+12145+12767+12766+12765+20312+16963+57266+56744+66102+55985+15945+17329+57349+20311+21937+21938+18053+94185+27279+85030+21934+21933+22035+326623+21926+14825+21943+12778"
"30","Hedgehog signaling pathway","04340",52,48,0.0199648564710085,-34.5867443059682,0.059,0.00912186254695236,0.039832133121692,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04340+19206+19207+12156+12159+12160+12162+12163+12164+216795+22408+22409+22410+22411+22412+22413+22414+22415+22416+22417+22418+22419+22420+22421+22422+22423+93735+103236+104318+214897+27373+93687+56637+18747+18749+19108+103583+12234+14632+14633+14634+24069+269209+19335+14725+319757+13363+16147+20423"
"31","T cell receptor signaling pathway","04660",103,94,0.00300193598923996,25.5063682797204,0.43,0.00987805413241021,0.0400576203165685,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04660+21926+12981+16191+16189+16183+18035+18036+18037+18033+19697+16150+16151+12675+53859+26410+11651+11652+23797+240354+12042+108723+18761+228026+18706+18707+18708+18709+18710+30955+320207+74769+12487+20662+20663+19419+15461+16653+18176+14281+16476+18018+18019+18021+54446+73181+19055+19056+19057+19058+19059+56398+70261+16428+21682+18803+16797+17444+22324+22325+57257+11848+12540+18479+18481+224105+241656+70584+17973+16822+22637+12501+12500+12503+14360+12502+12504+12402+208650+80794+16818+19264+15170+12477+18566+26395+26396+110157+26409+26400+26420+13383+26415+29857+56637"
"32","Transcriptional misregulation in cancer","05202",150,133,0.00740417358714441,5.40546572863181,0.175,0.00991062799043364,0.0400576203165685,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05202+14030+14247+13876+14009+18612+11908+22431+18124+233908+13198+18505+56458+18509+268996+68938+209446+17869+15902+11864+11920+229593+66629+18590+18591+545192+17349+19016+17295+14254+56312+12575+16009+21813+16000+16193+80859+94315+50528+104156+212980+13714+13207+18792+17392+17395+21417+16178+20732+20181+20182+20183+12394+12395+18854+19401+12427+16480+12606+20375+12475+16409+14129+19696+11796+22029+12048+12524+21939+21423+18514+14011+93735+20185+20466+214162+17355+16909+12393+18516+17125+17260+16599+108829+22289+109115+19126+140780+14255+16001+12576+18647+12444+16421+18507+18109+20683+22642+17246+12151+14083+18211+18053+107951+12455+72949+64144+70122+12981+17523+14939+67603+12978+17268+20471+20474+14048+12580+15446+53623+53618+12775+12053+15081+70439+18791+15182+433759+18033+19697+16825+17095+15242+19208"
"33","Calcium signaling pathway","04020",177,158,0.00182962137200625,-9.8371724811782,0.726,0.0101268009493147,0.0400576203165685,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04020+228550+233011+320404+104111+11514+432530+18574+18575+18125+18126+18127+22333+22334+22335+105675+110891+12322+12325+12326+19055+19056+19057+19058+19059+56398+70261+18750+12182+12494+74055+13649+13867+18595+18596+14672+14675+14676+14682+11441+14810+14813+14814+18436+18438+18439+18440+228139+231602+94045+18803+234779+114875+107589+213435+238564+18799+18802+72469+16438+16439+16440+102093+110094+18679+18682+68961+20190+20191+18795+18796+18797+18798+109305+269717+269999+12288+12289+12292+54652+12286+12287+12290+108071+11548+11549+11550+11607+12061+12062+12426+12669+12671+13617+13618+14062+14816+14829+15559+15560+16867+170732+18216+18430+19216+19218+19220+21336+21337+21338+21390+22045+243764+26361+54140+57260+58861+70086+12313+12314+12315+21925+11739+11740+104110+11513+11515+210044+11937+11938+53313+11540+11541+11554+11555+11556+13488+13492+15466+15562+15563+15564+15565+15566+18821+18747+18749+19108+14680+14683+12291+239556+58226+11941+320707+381290+67972+116873+20866"
"34","Basal cell carcinoma","05217",53,49,0.0173308293738282,64.5404853300379,0.079,0.0103966342806361,0.0400576203165685,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05217+14632+14633+14634+19206+19207+12156+12159+216795+22408+22409+22410+22411+22412+22413+22414+22415+22416+22417+22418+22419+22420+22421+22422+22423+93735+20423+11789+23805+24069+12005+12006+13542+13543+13544+14362+14365+14366+14367+14369+14370+14371+57265+269209+319757+12387+56637+16842+21414+21416"
