,Name,ID,pSize,NDE,pNDE,tA,pPERT,pG,pGFdr,pGFWER,Status,KEGGLINK
22,Melanoma,5218,60,1,0.152411221,3.830325015,0.089,0.071896333,0.16178699,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu05218+64654
23,Retrograde endocannabinoid signaling,4723,83,1,0.20461892,0.110243758,0.067,0.072518541,0.16178699,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu04723+14679
24,MAPK signaling pathway,4010,219,2,0.121164746,1.520100121,0.115,0.07347965,0.16178699,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu04010+14673+64654
25,Cell cycle,4110,107,2,0.034782948,-0.905533031,0.401,0.073539541,0.16178699,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04110+12544+12444
26,Type II diabetes mellitus,4930,40,1,0.104310848,0.89256686,0.183,0.094655082,0.200231904,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu04930+16334
27,Vascular smooth muscle contraction,4270,89,1,0.217714547,-1.751395353,0.093,0.099206977,0.202088286,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04270+14673
28,Serotonergic synapse,4726,91,1,0.222032887,0.601329588,0.135,0.135107098,0.257163056,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu04726+14679
29,Chagas disease (American trypanosomiasis),5142,84,1,0.206816261,1.322925094,0.155,0.142339115,0.257163056,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu05142+14679
30,Neurotrophin signaling pathway,4722,102,1,0.245371771,-1.530700439,0.132,0.143481464,0.257163056,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04722+18053
31,Morphine addiction,5032,73,1,0.182316735,0.110243758,0.18,0.14494645,0.257163056,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu05032+14679
32,Tight junction,4530,107,2,0.034782948,0,1,0.151605932,0.260572696,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04530+72058+14679
33,Regulation of autophagy,4140,17,1,0.045703417,0,1,0.186725068,0.311208447,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04140+16334
34,Maturity onset diabetes of the young,4950,18,1,0.048327514,0,1,0.194748005,0.315033537,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04950+16334
35,Insulin signaling pathway,4910,116,1,0.274090949,1.729212424,0.194,0.209195348,0.323154993,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu04910+16334
36,Cholinergic synapse,4725,89,1,0.217714547,0.808454224,0.263,0.221029287,0.323154993,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu04725+14679
37,Alzheimer's disease,5010,142,2,0.057850801,0,1,0.222719103,0.323154993,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu05010+66925+12858
38,Huntington's disease,5016,146,2,0.0607542,0,1,0.230921796,0.323154993,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu05016+66925+12858
39,Taste transduction,4742,23,1,0.061342898,0,1,0.232567849,0.323154993,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04742+20278
40,Gap junction,4540,71,1,0.177783744,2.78E-17,0.35,0.235021813,0.323154993,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu04540+14679
41,Measles,5162,103,1,0.247459337,-0.301844344,0.375,0.313407707,0.420424973,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu05162+12444
42,Type I diabetes mellitus,4940,38,1,0.099357035,0,1,0.328775956,0.430539943,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04940+16334
43,Oocyte meiosis,4114,93,1,0.226327998,0.297522287,0.506,0.362689766,0.458912595,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu04114+16334
44,Endometrial cancer,5213,45,1,0.116579515,0,1,0.367130076,0.458912595,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu05213+12006
45,Amphetamine addiction,5031,51,1,0.13108589,0,1,0.39743964,0.485759561,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu05031+21823
46,mTOR signaling pathway,4150,55,1,0.140627585,0,1,0.416488298,0.497809483,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04150+16334
47,Colorectal cancer,5210,57,1,0.14536007,0,1,0.425692979,0.497809483,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu05210+12006
48,Bacterial invasion of epithelial cells,5100,60,1,0.152411221,0,1,0.439123096,0.497809483,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu05100+12390
49,p53 signaling pathway,4115,61,1,0.154748983,0,1,0.443502994,0.497809483,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04115+12444
50,Jak-STAT signaling pathway,4630,106,1,0.25368833,0,1,0.601659626,0.661692571,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04630+12444
51,Chemokine signaling pathway,4062,147,1,0.333945327,-0.015087381,0.786,0.613569475,0.661692571,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04062+14679
52,Axon guidance,4360,115,1,0.272075397,0,1,0.626229426,0.662358047,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04360+14679
53,Viral carcinogenesis,5203,166,1,0.368223554,0,1,0.736102834,0.760231218,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu05203+12444
54,Cytokine-cytokine receptor interaction,4060,172,1,0.3786866,0,1,0.746408832,0.760231218,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04060+18053
55,Neuroactive ligand-receptor interaction,4080,204,1,0.431700779,0,1,0.794339178,0.794339178,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04080+14654
