"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048659","BP","GO:0048659","smooth muscle cell proliferation","61/3047","167/15222",4.83123891074247e-07,4.83123891074247e-07,0.000275721154453311,"Gnai3/Gna12/Alox12/Pparg/Pdgfb/Cnn1/Mef2d/Akr1b3/Akt1/Ppard/Tgfb1/Apoe/Cdkn1b/Klf4/Foxj2/Dnmt1/Il12b/Ndrg2/Ccn4/Hmox1/Igf1r/Mef2c/Cyba/Sod2/Ctnnb1/Cav1/Rhoa/Vipr2/Retn/Pten/Nol3/Ace2/Ager/Itga2/Mmp9/Ddx39b/Esr1/Vip/Tnfaip3/Igf1/Frs2/Mdm2/Igfbp3/Rps6kb1/Myocd/Nampt/Gna13/Id2/Itgb3/Ern1/Stat5b/Esr2/Mnat1/Hif1a/Tgfb3/Edn1/Ogn/Naa35/Tert/Hmgcr/Pde4d",61
"GO:0048568","BP","GO:0048568","embryonic organ development","129/3047","432/15222",5.01711278654069e-07,5.01711278654069e-07,0.000275721154453311,"Tbx2/Tbx4/Wnt9a/Th/Pdgfb/Sox9/Tcf7/Mmp14/Epn2/Sec24b/Pcnt/Hpn/Sp1/Rarg/Tulp3/Akt1/Naglu/Smo/Folr1/Rac1/Kmt2a/Tead3/Tgfb1/Shh/Prkra/Dvl3/Insig2/Pax2/Map2k1/Trim28/Mef2c/Kit/Otx1/Epha2/Ihh/Cdc42/Ctnnb1/Tgfbr1/Twist2/Id3/Tcap/Arid1a/Fzd3/Rpl10/Hipk1/Bmp7/Tbx1/Ascl2/Rarres2/Kcnq1/Mrtfb/Bcr/Wnt3a/Hyal1/Rnf112/Pifo/Prox1/Eya4/Plcd1/Phlda2/Wnt2/Fuz/Cdh23/Aldh1a2/Pax5/Cluap1/Alx3/Dll1/Gata2/Aldh1a3/Arnt/Srf/Gata3/Wnt11/Celsr1/Utp25/Rarb/Abr/Ada/Ift52/Med1/Stk4/Kif3a/Wnt9b/Pcgf2/Tbx3/Sp2/Lhx1/Csf2/Ahr/Hey2/Rspo3/Kitl/Psen1/Myb/Ahi1/Lrig3/Egfr/Frs2/Cobl/E2f7/Wdpcp/Ggnbp2/Id2/Ncoa1/Tpo/Hnf1b/Slc9a3r1/Llgl2/Dvl2/Ntn1/Krt19/Ccdc103/Plcd3/Foxg1/Tshr/Hif1a/Zfp36l1/Asb2/Tgfb3/Esrrb/Vash1/Ryr2/Gli3/Tfap2a/Edn1/Ror2/Ptch1/Cdk20",129
"GO:0043542","BP","GO:0043542","endothelial cell migration","71/3047","206/15222",7.60591238050217e-07,7.60591238050217e-07,0.00038583838918094,"Apoh/Itgb2/Alox12/Fap/Pparg/Pdgfb/Acvrl1/Krit1/Serpinf1/Sp1/Efnb2/Jup/Akt1/Rin2/Rac1/Paxip1/Tgfb1/Shh/Prkd1/Apoe/Klf4/Calr/Stat5a/Hdac9/Hspb1/Hmox1/Mef2c/Tek/Epha2/Tgfbr1/Rhoa/Emc10/Fut1/Hdac5/Met/Prox1/Amotl1/Pten/Stc1/Gata2/Sash1/Ager/Srf/Gata3/Nfe2l2/Stard13/Plcg1/Cd40/Adora2b/Sparc/Map2k3/Gipc1/Akt3/Nr2e1/Dcn/Igf1/Sirt1/Flt4/Patz1/Pik3cg/Rock2/Itgb3/Map3k3/Nf1/Pecam1/Hif1a/Lgmn/Vash1/Gpld1/Pdcd6/Plk2",71
"GO:0048660","BP","GO:0048660","regulation of smooth muscle cell proliferation","59/3047","162/15222",8.27786499512993e-07,8.27786499512993e-07,0.000389931008981121,"Gnai3/Gna12/Alox12/Pparg/Pdgfb/Cnn1/Mef2d/Akr1b3/Akt1/Ppard/Tgfb1/Apoe/Cdkn1b/Klf4/Foxj2/Dnmt1/Il12b/Ndrg2/Ccn4/Hmox1/Igf1r/Mef2c/Cyba/Sod2/Ctnnb1/Cav1/Rhoa/Vipr2/Retn/Pten/Ace2/Ager/Itga2/Mmp9/Ddx39b/Esr1/Vip/Tnfaip3/Igf1/Frs2/Mdm2/Igfbp3/Rps6kb1/Myocd/Nampt/Gna13/Id2/Itgb3/Ern1/Stat5b/Esr2/Mnat1/Hif1a/Tgfb3/Edn1/Ogn/Tert/Hmgcr/Pde4d",59
"GO:0005048","MF","GO:0005048","signal sequence binding","21/3047","37/15222",9.0476308179275e-07,9.0476308179275e-07,0.000390617609240553,"Kpnb1/Nup214/Ipo4/Kdelr1/Pex19/Kpna6/Lbr/Pex5/Tomm40l/Tnpo1/Srp14/Kdelr3/Nolc1/Pom121l2/Kpna2/Pex7/Srp68/Timm22/Nfkbia/Tomm20l/Nup153",21
"GO:0010631","BP","GO:0010631","epithelial cell migration","91/3047","284/15222",9.47707527606769e-07,9.47707527606769e-07,0.000390617609240553,"Apoh/Itgb2/Alox12/Fap/Pparg/Pdgfb/Acvrl1/Sox9/Krit1/Serpinf1/Il4/Sp1/Efnb2/Itga3/Jup/Marveld3/Akt1/Rin2/Rac1/Paxip1/Ppard/Tgfb1/Shh/Prkd1/Apoe/Klf4/Calr/Stat5a/Gab2/Coro1c/Pkn2/Aqp1/Hdac9/Rab11a/Hspb1/Hmox1/Mef2c/Kit/Tek/Epha2/Tgfbr1/Rhoa/Emc10/Fut1/Rab25/Hdac5/Met/Hyal1/Prox1/Amotl1/Pten/Stc1/Gata2/Sash1/Ager/Itga2/Srf/Gata3/Nfe2l2/Stard13/Plcg1/Cd40/Mmp9/Pfn1/Adora2b/Sparc/Map2k3/Gipc1/Akt3/Nr2e1/Dcn/Igf1/Sirt1/Ptprr/Wdpcp/Flt4/Patz1/Rtn4/Pik3cg/Rock2/Itgb3/Map3k3/Nf1/Pecam1/Hif1a/Lgmn/Vash1/Evl/Gpld1/Pdcd6/Plk2",91
"GO:0050673","BP","GO:0050673","epithelial cell proliferation","119/3047","397/15222",1.11683959100869e-06,1.11683959100869e-06,0.000411335774786227,"Apoh/Cav2/Ngfr/Ccnd2/Cdh1/Fap/Pparg/Pdgfb/Acvrl1/Wdr77/Sox9/Krit1/Serpinf1/Uhrf1/Hpn/Sp1/Efnb2/Marveld3/Akt1/Smo/Stat6/Ppard/Tsc2/Tgfb1/Shh/Prkd1/Apoe/Cdkn1b/Stk11/Ncstn/Rps6ka1/Bax/Stat3/Stat5a/Pax2/Phb2/Il12b/Pgf/Ccl24/Map2k1/Hmox1/Mef2c/Kit/Apc/Htra1/Tek/Epha2/Cyba/Ihh/Cdc42/Sulf2/Ctnnb1/Tinf2/Tgfbr1/Cav1/Twist2/Emc10/Fut1/Nfib/Tbx1/Wnt3a/Hyal1/Prox1/Wnt2/Ehf/Aldh1a2/Pten/Gata2/Ager/Gata3/Cd34/Sulf1/Srsf6/Plcg1/Igfbp4/Birc5/Etv4/Ift52/Med1/Kif3a/Adora2b/Sparc/Mydgf/Fmc1/Akt3/Esr1/Vip/Tnfaip3/Fabp7/Ptprk/Lims1/Psen1/Arg1/Igf1/Sirt1/Egfr/Lgr5/Frs2/Flt4/Igfbp3/Rtn4/Xbp1/Stxbp4/Id2/Hnf1b/Itgb3/Ern1/Nf1/Nr1d1/Esr2/Sav1/Zfp36l1/Vash1/Prl/Ptch1/Ctsl/Pdcd6/Aggf1/Thbs4",119
"GO:0090132","BP","GO:0090132","epithelium migration","91/3047","285/15222",1.12272015145163e-06,1.12272015145163e-06,0.000411335774786227,"Apoh/Itgb2/Alox12/Fap/Pparg/Pdgfb/Acvrl1/Sox9/Krit1/Serpinf1/Il4/Sp1/Efnb2/Itga3/Jup/Marveld3/Akt1/Rin2/Rac1/Paxip1/Ppard/Tgfb1/Shh/Prkd1/Apoe/Klf4/Calr/Stat5a/Gab2/Coro1c/Pkn2/Aqp1/Hdac9/Rab11a/Hspb1/Hmox1/Mef2c/Kit/Tek/Epha2/Tgfbr1/Rhoa/Emc10/Fut1/Rab25/Hdac5/Met/Hyal1/Prox1/Amotl1/Pten/Stc1/Gata2/Sash1/Ager/Itga2/Srf/Gata3/Nfe2l2/Stard13/Plcg1/Cd40/Mmp9/Pfn1/Adora2b/Sparc/Map2k3/Gipc1/Akt3/Nr2e1/Dcn/Igf1/Sirt1/Ptprr/Wdpcp/Flt4/Patz1/Rtn4/Pik3cg/Rock2/Itgb3/Map3k3/Nf1/Pecam1/Hif1a/Lgmn/Vash1/Evl/Gpld1/Pdcd6/Plk2",91
"GO:0030850","BP","GO:0030850","prostate gland development","25/3047","49/15222",1.25618514342678e-06,1.25618514342678e-06,0.000436011076097992,"Wdr77/Sox9/Serpinf1/Rarg/Shh/Cdkn1b/Stk11/Plag1/Stat5a/Psap/Cd44/Prlr/Igf1r/Apc/Ctnnb1/Bmp7/Pten/Rxra/Sulf1/Ahr/Esr1/Igf1/Frs2/Esr2/Id4",25
"GO:0001936","BP","GO:0001936","regulation of endothelial cell proliferation","48/3047","125/15222",1.51862399990132e-06,1.51862399990132e-06,0.000477712622235187,"Apoh/Cav2/Ngfr/Pparg/Pdgfb/Acvrl1/Krit1/Sp1/Akt1/Tsc2/Prkd1/Apoe/Stat3/Stat5a/Il12b/Pgf/Ccl24/Hmox1/Mef2c/Tek/Cyba/Tgfbr1/Cav1/Emc10/Fut1/Prox1/Wnt2/Aldh1a2/Gata2/Ager/Sulf1/Plcg1/Adora2b/Sparc/Mydgf/Akt3/Vip/Arg1/Igf1/Sirt1/Flt4/Itgb3/Nf1/Vash1/Prl/Pdcd6/Aggf1/Thbs4",48
"GO:0090130","BP","GO:0090130","tissue migration","91/3047","287/15222",1.56801544116021e-06,1.56801544116021e-06,0.000477712622235187,"Apoh/Itgb2/Alox12/Fap/Pparg/Pdgfb/Acvrl1/Sox9/Krit1/Serpinf1/Il4/Sp1/Efnb2/Itga3/Jup/Marveld3/Akt1/Rin2/Rac1/Paxip1/Ppard/Tgfb1/Shh/Prkd1/Apoe/Klf4/Calr/Stat5a/Gab2/Coro1c/Pkn2/Aqp1/Hdac9/Rab11a/Hspb1/Hmox1/Mef2c/Kit/Tek/Epha2/Tgfbr1/Rhoa/Emc10/Fut1/Rab25/Hdac5/Met/Hyal1/Prox1/Amotl1/Pten/Stc1/Gata2/Sash1/Ager/Itga2/Srf/Gata3/Nfe2l2/Stard13/Plcg1/Cd40/Mmp9/Pfn1/Adora2b/Sparc/Map2k3/Gipc1/Akt3/Nr2e1/Dcn/Igf1/Sirt1/Ptprr/Wdpcp/Flt4/Patz1/Rtn4/Pik3cg/Rock2/Itgb3/Map3k3/Nf1/Pecam1/Hif1a/Lgmn/Vash1/Evl/Gpld1/Pdcd6/Plk2",91
"GO:0022612","BP","GO:0022612","gland morphogenesis","53/3047","143/15222",1.5936462577359e-06,1.5936462577359e-06,0.000477712622235187,"Tbx2/Cdh1/Pdgfb/Sox9/Hpn/Rarg/Stat6/Tgfb1/Shh/Elf3/Edar/Plag1/Ddr1/Rps6ka1/Bax/Stat5a/Phb2/Cul3/Pax3/Cd44/Igf1r/Epha2/Sulf2/Cav1/Nfib/Bmp7/Met/Wnt3a/Prox1/Etv5/Csf1/Lama5/Rxra/Sulf1/Etv4/Med1/Tbx3/Esr1/Tnfaip3/Lims1/Ntn4/Igf1/Egfr/Frs2/Rtn4/Xbp1/Ccl11/Slc9a3r1/Ntn1/Esr2/Gli3/Id4/Ptch1",53
"GO:0001935","BP","GO:0001935","endothelial cell proliferation","52/3047","140/15222",1.84762075025455e-06,1.84762075025455e-06,0.000529764027475733,"Apoh/Cav2/Ngfr/Pparg/Pdgfb/Acvrl1/Krit1/Sp1/Akt1/Tsc2/Prkd1/Apoe/Stat3/Stat5a/Il12b/Pgf/Ccl24/Hmox1/Mef2c/Tek/Epha2/Cyba/Tgfbr1/Cav1/Emc10/Fut1/Prox1/Wnt2/Aldh1a2/Gata2/Ager/Cd34/Sulf1/Plcg1/Adora2b/Sparc/Mydgf/Akt3/Vip/Arg1/Igf1/Sirt1/Flt4/Xbp1/Itgb3/Ern1/Nf1/Vash1/Prl/Pdcd6/Aggf1/Thbs4",52
"GO:0042826","MF","GO:0042826","histone deacetylase binding","44/3047","112/15222",2.00216140984351e-06,2.00216140984351e-06,0.000550155317222351,"Hnrnpd/Kat2b/Sp1/Smg5/Mef2d/Rac1/Spi1/Akap8l/Klf4/Dnmt1/Pkn2/Hdac9/Chd5/Mef2c/Tfap4/Nr2c1/Cdc20/Gmnn/Hdac5/Cbx5/Brms1l/Sirt2/Srf/Top2b/Ikzf3/Ywhab/Kpna2/Ncor1/Sp2/Hdac2/Hey2/Nr2e1/Cry1/Xbp1/Myocd/Lpin1/Ywhae/Top2a/Kat2a/Hif1a/Mta1/Hsp90aa1/Gli3/Ankra2",44
"GO:0010595","BP","GO:0010595","positive regulation of endothelial cell migration","42/3047","106/15222",2.61584984160248e-06,2.61584984160248e-06,0.000690033652953244,"Alox12/Pdgfb/Sp1/Akt1/Rin2/Rac1/Tgfb1/Shh/Prkd1/Calr/Stat5a/Hdac9/Hspb1/Hmox1/Tek/Emc10/Fut1/Met/Prox1/Amotl1/Gata2/Sash1/Gata3/Nfe2l2/Plcg1/Cd40/Adora2b/Sparc/Map2k3/Akt3/Igf1/Sirt1/Flt4/Pik3cg/Rock2/Itgb3/Map3k3/Hif1a/Lgmn/Gpld1/Pdcd6/Plk2",42
"GO:0006606","BP","GO:0006606","protein import into nucleus","56/3047","157/15222",3.29406180633545e-06,3.29406180633545e-06,0.000835518105938931,"Cdh1/Kpnb1/Jup/Akt1/Smo/Nup214/Ipo4/Tsc2/Tgfb1/Shh/Prkd1/Cse1l/Cd36/Ranbp2/Kpna6/Stat3/Phb2/Rab23/Trim28/Tpr/Tek/Tmco6/Nutf2/Pttg1ip/Tnpo1/Dmap1/Hyal2/Tnpo3/Chp1/Nolc1/Hspa8/Sqstm1/E2f3/Nup50/Pom121l2/Brca1/Med1/Kpna2/Akap1/Rpain/Traf3ip2/Cdk1/Psen1/Appl2/Ppp2ca/Eif4enif1/Xbp1/Nf1/Ddx5/Nup85/Nfkbia/Akap5/Gli3/Nup153/Syk/Drd1",56
"GO:0050678","BP","GO:0050678","regulation of epithelial cell proliferation","102/3047","337/15222",4.00451570237187e-06,4.00451570237187e-06,0.000978101008785956,"Apoh/Cav2/Ngfr/Ccnd2/Cdh1/Pparg/Pdgfb/Acvrl1/Wdr77/Sox9/Krit1/Serpinf1/Uhrf1/Hpn/Sp1/Efnb2/Marveld3/Akt1/Smo/Ppard/Tsc2/Tgfb1/Shh/Prkd1/Apoe/Cdkn1b/Stk11/Bax/Stat3/Stat5a/Pax2/Phb2/Il12b/Pgf/Ccl24/Hmox1/Mef2c/Apc/Htra1/Tek/Cyba/Ihh/Cdc42/Sulf2/Ctnnb1/Tinf2/Tgfbr1/Cav1/Twist2/Emc10/Fut1/Nfib/Tbx1/Wnt3a/Hyal1/Prox1/Wnt2/Aldh1a2/Pten/Gata2/Ager/Gata3/Sulf1/Srsf6/Plcg1/Birc5/Etv4/Ift52/Med1/Kif3a/Adora2b/Sparc/Mydgf/Fmc1/Akt3/Esr1/Vip/Tnfaip3/Ptprk/Lims1/Arg1/Igf1/Sirt1/Egfr/Frs2/Flt4/Rtn4/Xbp1/Stxbp4/Itgb3/Nf1/Nr1d1/Esr2/Sav1/Zfp36l1/Vash1/Prl/Ptch1/Ctsl/Pdcd6/Aggf1/Thbs4",102
